application_number,brand_name,generic_name,company,approval_year,submission_class
NDA020600,TAZORAC,TAZAROTENE,"Almirall, LLC",1997,Type 1 - New Molecular Entity
NDA020705,N/A,N/A,N/A,1997,Type 1 - New Molecular Entity
NDA020587,N/A,N/A,N/A,1997,Type 1 - New Molecular Entity
NDA020707,N/A,N/A,N/A,1997,Type 1 - New Molecular Entity
NDA020738,N/A,N/A,N/A,1997,Type 1 - New Molecular Entity
NDA020639,SEROQUEL,QUETIAPINE,"H2-Pharma, LLC",1997,Type 1 - New Molecular Entity
NDA020579,N/A,N/A,N/A,1997,Type 1 - New Molecular Entity
NDA020617,N/A,N/A,N/A,1997,Type 1 - New Molecular Entity
NDA020759,N/A,N/A,N/A,1997,Type 1 - New Molecular Entity
NDA020741,N/A,N/A,N/A,1997,Type 1 - New Molecular Entity
NDA020720,N/A,N/A,N/A,1997,Type 1 - New Molecular Entity
NDA020696,N/A,N/A,N/A,1997,Type 1 - New Molecular Entity
NDA020646,TIAGABINE HYDROCHLORIDE,TIAGABINE HYDROCHLORIDE,"Teva Pharmaceuticals USA, Inc.",1997,Type 1 - New Molecular Entity
NDA020723,N/A,N/A,N/A,1997,Type 1 - New Molecular Entity
NDA020740,N/A,N/A,N/A,1997,Type 1 - New Molecular Entity
NDA008319,N/A,N/A,N/A,1997,Type 1 - New Molecular Entity and Type 4 - New Combination
NDA020757,AVAPRO,IRBESARTAN,Sanofi-Aventis U.S. LLC,1997,Type 1 - New Molecular Entity
NDA020695,N/A,N/A,N/A,1997,Type 1 - New Molecular Entity
NDA020768,N/A,N/A,N/A,1997,Type 1 - New Molecular Entity
NDA020667,N/A,N/A,N/A,1997,Type 1 - New Molecular Entity
NDA020726,FEMARA,LETROZOLE,Novartis Pharmaceuticals Corporation,1997,Type 1 - New Molecular Entity
NDA020632,N/A,N/A,N/A,1997,Type 1 - New Molecular Entity
BLA103705,RITUXAN,RITUXIMAB,"Genentech, Inc.",1997,Type 1 - New Molecular Entity
NDA020760,N/A,N/A,N/A,1997,Type 1 - New Molecular Entity
NDA020333,AGRYLIN,ANAGRELIDE HYDROCHLORIDE,"Takeda Pharmaceuticals America, Inc.",1997,Type 1 - New Molecular Entity
NDA020839,PLAVIX,CLOPIDOGREL,Sanofi-Aventis U.S. LLC,1997,Type 1 - New Molecular Entity
NDA019922,N/A,N/A,N/A,1997,Type 1 - New Molecular Entity
NDA020420,N/A,N/A,N/A,1997,Type 1 - New Molecular Entity
NDA020570,N/A,N/A,N/A,1997,Type 1 - New Molecular Entity
NDA050739,N/A,N/A,N/A,1997,Type 1 - New Molecular Entity
NDA020658,N/A,N/A,N/A,1997,Type 1 - New Molecular Entity
BLA103691,REGRANEX GEL 0.01%,BECAPLERMIN GEL 0.01%,"LRM Therapeutics, LLC",1997,Type 1 - New Molecular Entity
NDA020896,XELODA,CAPECITABINE,"H2-Pharma, LLC",1998,Type 1 - New Molecular Entity
NDA020892,VALSTAR,VALRUBICIN,"Endo USA, Inc.",1998,Type 1 - New Molecular Entity
NDA020895,SILDENAFIL CITRATE,SILDENAFIL CITRATE,Mylan Pharmaceuticals Inc.,1998,Type 1 - New Molecular Entity
NDA020961,N/A,N/A,N/A,1998,Type 1 - New Molecular Entity
NDA020835,ACTONEL,RISEDRONATE SODIUM,"Allergan, Inc.",1998,Type 1 - New Molecular Entity
NDA020718,N/A,N/A,N/A,1998,Type 1 - New Molecular Entity
BLA103792,HERCEPTIN,TRASTUZUMAB,"Genentech, Inc.",1998,Type 1 - New Molecular Entity
NDA020829,SINGULAIR,MONTELUKAST SODIUM,Organon LLC,1998,Type 1 - New Molecular Entity
NDA020785,THALOMID,THALIDOMIDE,Celgene Corporation,1998,Type 1 - New Molecular Entity
BLA103770,SYNAGIS,PALIVIZUMAB,Swedish Orphan Biovitrum AB (publ),1998,Type 1 - New Molecular Entity
BLA020898,THYROGEN,THYROTROPIN ALFA,Genzyme Corporation,1998,Type 1 - New Molecular Entity
